,ID,R,R_SD,G,G_SD,B,B_SD
279,URB-sid18,188.83,30.85,138.53,25.54,103.07,19.88
280,URB-sid19,177.08,33.34,136.21,28.58,102.01,23.92
281,urb-sid20,213.23,33.31,169.22,30.14,125.34,22.73
282,URB-sid21,204.12,40.51,155.16,35.38,110.82,25.67
283,URB-sid22,207.89,40.54,166.82,39.19,121.02,32.18
284,URB-sid23,207.85,28.11,149.24,27.81,99.14,24.06
285,URB-sid24,174.28,36.16,131.69,28.98,101.4,20.39
286,URB-sid25,192,32.27,148.48,27.26,111.32,18.77
287,URB-sid26,180.92,32.13,132.28,25.65,88.41,20.61
288,URB-sid27,173.08,40.28,128.69,31.08,91.82,21.42
289,URB-sid28,193.87,34.82,145.22,29.33,103.73,20.86
290,URB-sid30,193.09,31.77,147.53,27.57,103.07,21.17
291,URB-sid31,201.9,38.36,154.73,34.73,106.39,24.13
292,URB-sid32,195.71,32.97,150.46,28.43,117.28,24.06
293,URB-sid33,217.77,38.23,172.82,38.45,132.6,38.17
294,URB-sid34,222.32,34.55,174.67,33.13,128.54,29.39
295,urb-sid35,170.53,32.22,132.63,26.01,107.9,20.07
296,URB-sid36,187.43,32.87,138.87,26.11,93.79,18.18
297,URB-sid38,204.74,41.82,160.69,36.73,118.97,28.18
298,URB-sid39,188.62,39.81,138.35,31.57,90.87,21.52
299,urb-sid40,183.29,41.42,143.22,34.79,105.78,26.07
